"input","expected_output","actual_output","expected_score","category"
"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?","The ball costs $0.05. If the ball is x, the bat is x + $1.00. Together: 2x + $1.00 = $1.10, so 2x = $0.10, x = $0.05.","The ball costs $0.05. Setting up the equation: ball = x, bat = x + 1.00. Total: 2x + 1.00 = 1.10, so x = 0.05.","1.0","reasoning"
"If all Bloops are Razzies and all Razzies are Lazzies, are all Bloops definitely Lazzies?","Yes. By transitivity: all Bloops are Razzies, and all Razzies are Lazzies, so all Bloops must be Lazzies.","Yes, all Bloops are Lazzies because if Bloops are a subset of Razzies, and Razzies are a subset of Lazzies, then Bloops are necessarily a subset of Lazzies.","1.0","reasoning"
"A train travels at 60 mph. How long does it take to travel 150 miles?","Time = Distance / Speed = 150 / 60 = 2.5 hours.","2.5 hours","1.0","reasoning"
"You have a 3-liter jug and a 5-liter jug. How do you measure exactly 4 liters of water?","Fill the 5L jug. Pour into 3L jug until full (5L has 2L left). Empty the 3L jug. Pour the 2L from the 5L jug into the 3L jug. Fill the 5L jug again. Pour from the 5L jug into the 3L jug (which already has 2L) until full — this pours 1L, leaving exactly 4L in the 5L jug.","Fill the 5-liter jug, pour into 3-liter until full. You now have 2L in the 5L jug. Empty the 3L jug. Pour the 2L into the 3L jug. Fill the 5L jug again and pour 1L into the 3L jug to fill it. The 5L jug now holds exactly 4 liters.","1.0","reasoning"
"What is 15% of 240?","15% of 240 = 0.15 × 240 = 36.","36","1.0","reasoning"
"A store is having a 30% off sale. An item originally costs $80. What is the sale price?","Discount = 30% of $80 = $24. Sale price = $80 - $24 = $56.","$56","0.67","reasoning"
"There are 5 red balls and 3 blue balls in a bag. What is the probability of drawing a blue ball at random?","P(blue) = 3 / (5 + 3) = 3/8 = 0.375.","3/8","0.67","reasoning"
"If a car depreciates by 15% per year and was bought for $20,000, what is its value after 2 years?","After year 1: $20,000 × 0.85 = $17,000. After year 2: $17,000 × 0.85 = $14,450.","$17,000","0.5","reasoning"
"A farmer has both chickens and cows. He counts 20 heads and 56 legs. How many chickens and how many cows are there?","Let c = cows, ch = chickens. c + ch = 20 and 4c + 2ch = 56. Solving: 2c = 16, c = 8 cows and ch = 12 chickens.","There are 14 cows and 6 chickens.","0.0","reasoning"
"A sequence follows the rule: each term is the sum of the previous two. The first two terms are 2 and 3. What is the 6th term?","Sequence: 2, 3, 5, 8, 13, 21. The 6th term is 21.","The 6th term is 13.","0.0","reasoning"
